Nodes;Addjested Nodes
268807415;{1075354617,1187921026,305245849,}
268807416;{1238146042,4984396670,5079335528,}
268807417;{4984396671,304391469,4984396670,}
268807419;{265663421,1808687435,1808687432,268808928,}
268807448;{4899872081,4832872471,470041258,304595848,}
268808928;{268807419,1811024238,}
268808929;{1075248134,2947909804,1075248143,}
269241211;{265664843,265664842,}
269241271;{269241272,2959126797,}
269241272;{2959126808,269241271,}
269241498;{266531369,272499638,272499635,}
269252197;{270948017,4690334607,}
269254848;{1059256552,1782387002,}
269303146;{2973947970,2973947971,2280263588,}
269304170;{268807405,305433330,}
269304201;{2973948133,2973948032,}
269304202;{265662973,1088151439,}
269304247;{2116541926,266531053,4763121171,2116536579,}
269430268;{5399533436,2973947984,}
269438047;{4700973608,265710927,}
269438051;{265710927,4682110010,}
269440455;{2974135800,3563323494,767823666,}
269442617;{4556185235,401418537,2012837303,}
269442655;{4996186951,401418537,1790252133,4763181096,}
270946260;{1092202623,1071583741,1071584098,}
270946261;{4003831208,4357471172,}
270946262;{427673174,4580736372,}
270946263;{2947339979,427673174,}
270946264;{2947722833,2947339979,}
270946265;{270946266,2947722833,}
270946266;{3537260683,270946265,}
270946267;{2967037536,2967037534,2967037540,}
270946268;{1092203063,2947722232,2967037534,}
270946269;{2947339967,2947722232,}
270946270;{2947339964,2947339967,}
270946271;{2947339953,270946272,2947339964,}
270946272;{2947339947,1092201742,1326828208,270946271,}
270946273;{1796209561,1796209569,1796209570,}
270946274;{1796209555,2947339938,}
270946275;{2958568580,1326828457,}
270946277;{270946278,2958568580,}
270946278;{2960374547,270946277,2960374550,}
270946279;{5073353230,2960374550,}
270946280;{2960374569,476628138,270946281,}
270946281;{2960374569,270946280,2960374574,}
270946464;{1326653307,1326653328,1326653253,}
270946465;{1326653274,1326653307,}
270946467;{2947340151,1326653237,}
270946468;{2947340151,1071583900,1326653232,}
270946469;{1326653306,1326653232,}
270946471;{1326653327,1326653306,}
270946472;{553088187,3358544230,1326653327,}
270946473;{1071583923,1071584388,}
270946703;{1071583900,1093891580,1062278482,}
270946704;{1093834949,1093834681,}
270946706;{2988856949,4582548021,2947340134,}
270946707;{2392884119,3928288630,1093878479,}
270946714;{2988856023,2988856943,1061571485,}
270946733;{1061571928,2392884119,270946838,}
270946734;{2988856023,1061571928,1061571845,}
270946834;{270946835,1061571845,}
270946835;{270946834,1061571742,1061571363,270946836,}
270946836;{1061572157,270946835,}
270946837;{1061572198,1061571358,2988856022,}
270946838;{270946733,1061571382,}
270947012;{265664396,4749598489,}
270947071;{265664451,4086247625,4200236097,}
270947422;{270948094,5359481489,4763121169,}
270947766;{4763121170,2116536565,}
270947964;{4832551362,266531059,}
270948017;{306729500,269252197,307231359,}
270948043;{2973948135,266531055,}
270948094;{270947422,2947909769,}
270948095;{2947909769,266531054,}
270948373;{4763121171,4763121172,}
270948374;{1088151367,305166160,2116543035,}
270949659;{270949690,2949104726,1075248134,}
270949660;{2947909802,1075248134,}
270949661;{2947909805,4762999128,270949662,}
270949662;{270949830,2974135803,270949661,270949663,}
270949663;{2947909803,270949662,}
270949664;{270949665,4762999129,}
270949665;{2949105433,270949666,270949664,}
270949666;{270949667,270950319,270949665,}
270949667;{2947909799,270949666,}
270949690;{270949659,2947909799,}
270949830;{1075248109,270949662,}
270949831;{1075248109,270950424,1075248045,}
270950153;{2947909796,265662966,}
